,0
0,-0.016556768
1,0.029074779
2,-0.0053524366
3,-0.0032268222
4,-0.013961044
5,-0.00201366
6,-0.0050512776
7,0.020213297
8,-0.021825958
9,0.023926323
10,-0.014704603
11,-0.019497441
12,-0.009786028
13,-0.004315091
14,-0.0076695215
15,-0.009185904
16,-0.015066677
17,0.009916726
18,-0.012477961
19,-0.0056582876
20,-0.0009300747
21,-0.016335184
22,-0.010794528
23,0.0048584277
24,-0.006933026
25,0.0032097143
26,0.014747997
27,0.0157506
28,-0.010691787
29,0.016536178
30,-0.016248427
31,0.014102975
